Sl. No,States,2019-20,2020-21,2021-22,2022-23
1,Andhra Pradesh,NA,NA,NA,NA
2,Arunachal Pradesh,NA,NA,1,NA
3,Assam,3,NA,NA,NA
4,Bihar,NA,NA,NA,NA
5,Chhattisgarh,NA,NA,2,NA
6,Goa,NA,NA,1,NA
7,Gujarat,NA,NA,NA,NA
8,Haryana,NA,NA,NA,NA
9,Himachal Pradesh,NA,NA,1,NA
10,Jammu and Kashmir (UT),NA,NA,2,NA
11,Jharkhand,3,NA,NA,NA
12,Karnataka,NA,NA,2,NA
13,Kerala,NA,NA,1,NA
14,Madhya Pradesh,2,4,NA,NA
15,Maharashtra,NA,6,NA,NA
16,Manipur,1,NA,NA,1
17,Meghalaya,NA,NA,NA,NA
18,Mizoram,2,NA,NA,NA
19,Nagaland,NA,NA,2,NA
20,Odisha,NA,1,1,2
21,Punjab,NA,NA,2,NA
22,Rajasthan,NA,NA,2,NA
23,Sikkim,NA,NA,1,NA
24,Tamil Nadu,NA,NA,2,NA
25,Telangana,5,1,2,NA
26,Tripura,NA,NA,1,NA
27,Uttar Pradesh,9,4,NA,NA
28,Uttarakhand,2,NA,NA,2
29,West Bengal,2,NA,7,NA
Total,Total,29,16,30,5
