Sl. No.,State/UT,Number of Blocks where AAP Approved,Number of Blocks where DPR Approved,Total Enterprises Formed (31st October 2024)
1,Andhra Pradesh,14,8,27651
2,Arunachal Pradesh,1,1,506
3,Assam,24,24,6839
4,Bihar,32,22,24892
5,Chhattisgarh,25,9,21016
6,Goa,1,1,1398
7,Gujarat,7,3,5940
8,Haryana,6,6,9854
9,Himachal Pradesh,9,1,527
10,Jammu and Kashmir,20,8,3476
11,Jharkhand,35,24,25991
12,Karnataka,20,8,1700
13,Kerala,43,33,34569
14,Madhya Pradesh,21,14,28318
15,Maharashtra,14,8,8134
16,Manipur,4,2,1897
17,Meghalaya,3,3,1191
18,Mizoram,4,4,1308
19,Nagaland,4,4,4118
20,Odisha,17,12,15043
21,Punjab,3,3,3425
22,Rajasthan,18,18,9839
23,Sikkim,1,1,516
24,Tamil Nadu,10,4,4834
25,Telangana,22,10,17824
26,Tripura,7,3,1188
27,Uttar Pradesh,27,19,28904
28,Uttarakhand,4,4,3674
29,West Bengal,31,23,18892
30,Puducherry,1,0,0
31,Andaman and Nicobar Islands,1,0,0
Total,Total,429,280,313464
